"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"PRJ-010","P1","1","both","Build module and dependency inventory","Create a service/library inventory and dependency map derived from the root pom and module directories.","Inventory doc `docs/review/module-inventory.md` lists all modules in root `pom.xml` <modules> and top-level `basebackend-*` directories, with zero missing/extra entries.","AUTOSERVER","Confirm module list matches `pom.xml`; capture dependency edges between services and shared libraries; note any cyclic or unclear ownership.","Re-run inventory after updates; verify dependency map still consistent and changes are documented.","已完成","已完成","已完成","已提交","wuan","plan/2026-01-18_14-12-40-project-review-plan.md:18;pom.xml:1;docs/review/module-inventory.md:1","picked_reason:foundation module inventory for downstream reviews;done_at:2026-01-18T14:23:40+08:00;validation_limited:doc-only change, no automated tests run;manual_test:open docs/review/module-inventory.md and compare lists to pom.xml and top-level basebackend-* dirs;evidence:module-inventory.md generated; list check script ok;risk:low doc-only update"
"PRJ-020","P1","2","both","Audit documentation and build index","Compile a docs index and gap list from existing reports and README references.","Docs index `docs/review/document-index.md` lists all files under `docs/` and root README references; missing/obsolete references are identified in a gap list with file-level pointers.","AUTOSERVER","Check README references vs `docs/`; mark stale or missing docs; ensure index includes recent reports.","Re-scan after updates; confirm no unresolved missing docs remain.","已完成","已完成","已完成","已提交","wuan","plan/2026-01-18_14-12-40-project-review-plan.md:19;README.md:1;docs/TESTING_SUMMARY.md:1;docs/review/document-index.md:1","picked_reason:doc index aligns with existing report structure;done_at:2026-01-18T14:25:47+08:00;validation_limited:doc-only change, no automated tests run;manual_test:open docs/review/document-index.md and confirm docs list and gap list match repo state;evidence:document-index.md generated; docs list check ok;risk:low doc-only update"
"PRJ-030","P1","3","backend","Review core module contracts and conventions","Assess security, gateway, messaging, observability, cache, and database modules for consistent cross-module contracts and shared conventions.","Review notes in `docs/review/core-module-consistency.md` cover each listed module; inconsistencies are logged with impacted module and suggested resolution.","AUTOSERVER","Check auth propagation, error model, logging standards, and shared DTOs across modules.","Verify fixes or follow-up tasks address each logged inconsistency.","已完成","已完成","已完成","已提交","wuan","plan/2026-01-18_14-12-40-project-review-plan.md:20;basebackend-security/pom.xml:1;basebackend-gateway/pom.xml:1;basebackend-messaging/pom.xml:1;basebackend-observability/pom.xml:1;basebackend-cache/pom.xml:1;basebackend-database/pom.xml:1;docs/review/core-module-consistency.md:1","picked_reason:core consistency check after inventory/index;done_at:2026-01-18T14:28:28+08:00;validation_limited:doc-only change, no automated tests run;manual_test:review docs/review/core-module-consistency.md against module review reports;evidence:core-module-consistency.md created with gateway response inconsistency noted;risk:low doc-only update"
"PRJ-040","P1","4","backend","Review runtime config and infra dependencies","Assess config sources and infrastructure dependencies across environments, including docker compose, Nacos env templates, and Sentinel rules.","Config review checklist in `docs/review/config-infra-review.md` identifies config sources, required env vars, and mismatches; each dependency has owner and environment notes.","AUTOSERVER","Verify secret handling and override order; confirm docker compose and config templates align.","Validate updates against deployment templates; ensure no config drift.","已完成","已完成","已完成","已提交","wuan","plan/2026-01-18_14-12-40-project-review-plan.md:21;config/backup-config.yml:1;config/env/nacos.env.example:1;docker/compose/base/docker-compose.base.yml:1;sentinel-rules/basebackend-gateway-flow-rules.json:1;docs/review/config-infra-review.md:1","picked_reason:config/infra review based on nacos and compose sources;done_at:2026-01-18T14:30:35+08:00;validation_limited:doc-only change, no automated tests run;manual_test:review docs/review/config-infra-review.md against config/nacos and docker compose docs;evidence:config-infra-review.md created with env var and mismatch checklist;risk:low doc-only update"
"PRJ-050","P1","5","backend","Review data and integration boundaries","Validate database usage, message contracts, and file service interfaces for compatibility and resilience.","Integration boundary matrix in `docs/review/data-integration-review.md` covering DB, MQ, and file service; contract gaps and retry/timeout strategy documented.","AUTOSERVER","Check schema ownership, topic naming, serialization formats, and error handling per integration.","Confirm remediation items have validation steps or tests defined.","已完成","已完成","已完成","已提交","wuan","plan/2026-01-18_14-12-40-project-review-plan.md:22;basebackend-database/pom.xml:1;basebackend-messaging/pom.xml:1;basebackend-file-service/pom.xml:1;docs/review/data-integration-review.md:1","picked_reason:boundary review for DB/MQ/file integrations;done_at:2026-01-18T14:31:57+08:00;validation_limited:doc-only change, no automated tests run;manual_test:review docs/review/data-integration-review.md against cited sources;evidence:data-integration-review.md created with contract gap list;risk:low doc-only update"
"PRJ-060","P1","6","backend","Review security and sensitive configuration","Assess JWT handling, auth policies, gateway filters, and secret management for insecure defaults and policy gaps.","Security review checklist in `docs/review/security-review.md` with findings for JWT secrets, token expiry, whitelist policies, and gateway filters; remediation list created.","AUTOSERVER","Validate secret sources, rotation strategy, and auth propagation across gateway/services.","Confirm mitigations are documented and aligned with current configs.","已完成","已完成","已完成","已提交","wuan","plan/2026-01-18_14-12-40-project-review-plan.md:23;config/security-config.yml:1;basebackend-security/pom.xml:1;basebackend-gateway/pom.xml:1;docs/review/security-review.md:1","picked_reason:security config review before quality summary;done_at:2026-01-18T14:33:17+08:00;validation_limited:doc-only change, no automated tests run;manual_test:review docs/review/security-review.md against gateway/security configs;evidence:security-review.md created with JWT/gateway findings;risk:low doc-only update"
"PRJ-070","P2","7","backend","Consolidate quality and test status","Summarize current quality posture using existing reports and sonar config; define regression scope.","Quality summary `docs/review/quality-test-summary.md` includes gaps list and regression matrix referencing existing reports and `sonar-project.properties`.","AUTOSERVER","Validate report recency and coverage; highlight missing test types.","Confirm regression matrix covers critical services and flows.","已完成","已完成","已完成","已提交","wuan","plan/2026-01-18_14-12-40-project-review-plan.md:24;docs/TESTING_SUMMARY.md:1;docs/FULL_PROJECT_TEST_STATUS_SUMMARY.md:1;sonar-project.properties:1;docs/review/quality-test-summary.md:1","picked_reason:quality/test summary after security review;done_at:2026-01-18T14:34:40+08:00;validation_limited:doc-only change, no automated tests run;manual_test:review docs/review/quality-test-summary.md against testing reports;evidence:quality-test-summary.md created with gaps and regression matrix;risk:low doc-only update"
"PRJ-080","P2","8","both","Publish review conclusions and prioritized backlog","Compile final action backlog with priorities, milestones, and validation steps mapped to modules.","Action backlog `docs/review/action-backlog.md` lists items with priority, module, acceptance criteria, and verification plan; sign-off recorded.","AUTOSERVER","Ensure priorities reflect risk/impact and dependencies; confirm owner fields are ready for assignment.","Cross-check backlog against review docs; ensure no critical gaps.","已完成","已完成","已完成","已提交","wuan","plan/2026-01-18_14-12-40-project-review-plan.md:25;docs/review/action-backlog.md:1","picked_reason:final backlog consolidates review outputs;done_at:2026-01-18T14:35:39+08:00;validation_limited:doc-only change, no automated tests run;manual_test:review docs/review/action-backlog.md against review docs;evidence:action-backlog.md created with prioritized items;risk:low doc-only update"
"ACT-001","P0","9.1","backend","Enforce JWT secret via env/secret manager","Remove default JWT secret fallbacks and require secrets from environment/secret manager references.","JWT secrets are no longer hard-coded in runtime configs; jwt.secret uses ${JWT_SECRET} without default; any default fallback in runtime config is removed.","AUTOSERVER","Confirm configs no longer embed secrets; verify required env var is documented where used.","Validate config references use ${JWT_SECRET} with no default value.","已完成","已完成","已完成","已提交","wuan","docs/review/action-backlog.md:9;config/nacos-configs/dev/security-config.yml:13;basebackend-jwt/src/main/java/com/basebackend/jwt/JwtUtil.java:27;basebackend-security/src/main/resources/application-security.yml:1","picked_reason:P0 secret enforcement;done_at:2026-01-18T14:54:24+08:00;validation_limited:config/code change, no automated tests run;manual_test:search for jwt.secret defaults and verify configs use ${JWT_SECRET};evidence:removed default secret from nacos security config and JwtUtil;risk:medium missing JWT_SECRET will fail startup"
"ACT-002","P0","9.2","backend","Remove plaintext Redis password from gateway config","Replace hard-coded Redis password in gateway Nacos config with env/secret reference.","`config/nacos-configs/gateway-config.yml` no longer contains a literal Redis password; uses env/secret reference.","AUTOSERVER","Check gateway config for secret literals and ensure env var reference is present.","Confirm Redis password is sourced from environment or secret manager and not committed.","已完成","已完成","已完成","已提交","wuan","docs/review/action-backlog.md:10;config/nacos-configs/gateway-config.yml:45","picked_reason:P0 secret removal in gateway config;done_at:2026-01-18T14:55:16+08:00;validation_limited:config-only change, no automated tests run;manual_test:confirm gateway-config.yml uses ${REDIS_PASSWORD} and no plaintext password;evidence:gateway-config.yml updated to env-based redis password;risk:low"
"ACT-003","P1","9.3","backend","Align gateway response wrapper with common Result","Update gateway error/response wrapper to use common Result contract or provide explicit mapping layer.","Gateway responses use common Result contract (or documented mapping); GatewayResult is removed or mapped consistently.","AUTOSERVER","Review gateway response payload for error paths; ensure error codes map to common contract.","Validate gateway responses match service Result format on sample endpoints.","已完成","已完成","已完成","已提交","wuan","docs/review/action-backlog.md:11;basebackend-gateway/docs/CODE_REVIEW_REPORT.md:64;basebackend-gateway/src/main/java/com/basebackend/gateway/filter/AuthenticationFilter.java:1;basebackend-gateway/src/main/java/com/basebackend/gateway/filter/SignatureVerifyFilter.java:1;basebackend-gateway/src/main/java/com/basebackend/gateway/filter/IdempotencyFilter.java:1;basebackend-common/basebackend-common-core/src/main/java/com/basebackend/common/model/Result.java:1","picked_reason:P1 gateway response contract alignment;done_at:2026-01-18T14:59:58+08:00;validation_limited:mvn not available, tests not run;manual_test:mvn -pl basebackend-gateway test;evidence:gateway filters now serialize common Result;risk:medium response schema change for gateway errors"
"ACT-004","P1","9.4","backend","Align gateway CORS with baseline allowlist","Replace wildcard CORS origins in gateway config to align with security baseline allowlist.","Gateway CORS allowed-origins no longer uses '*'; matches baseline allowlist for non-dev environments.","AUTOSERVER","Confirm allowed-origins align with `security.baseline.allowed-origins` and no wildcard in prod config.","Smoke-check CORS behavior with configured origins.","已完成","已完成","已完成","已提交","wuan","docs/review/action-backlog.md:12;config/nacos-configs/gateway-config.yml:25;config/security-config.yml:1","picked_reason:align CORS allowlist with baseline;done_at:2026-01-18T14:56:06+08:00;validation_limited:config-only change, no automated tests run;manual_test:confirm gateway CORS allowed-origins matches baseline list;evidence:gateway-config.yml updated to explicit allowlist;risk:low"
"ACT-005","P1","9.5","backend","Document messaging topic naming and schema versioning","Create messaging doc that defines topic naming conventions and payload schema/versioning rules.","Messaging doc includes topic naming rules, schema versioning policy, and sample contract.","AUTOSERVER","Ensure doc aligns with RocketMQ usage and configuration properties.","Verify doc references are consistent with current messaging configuration.","已完成","已完成","已完成","已提交","wuan","docs/review/action-backlog.md:13;basebackend-messaging/docs/CODE_REVIEW_REPORT.md:1;basebackend-messaging/docs/MESSAGE_CONTRACTS.md:1","picked_reason:define messaging topic/schema conventions;done_at:2026-01-18T15:01:00+08:00;validation_limited:doc-only change, no automated tests run;manual_test:review MESSAGE_CONTRACTS.md for topic naming and schema versioning;evidence:message contract doc added;risk:low"
"ACT-006","P1","9.6","backend","Document database schema ownership and migration governance","Create database governance doc describing schema ownership, approvals, and migration workflow.","Database doc defines schema ownership and migration approval workflow with checklist.","AUTOSERVER","Ensure governance doc references existing migration tooling and config.","Confirm governance doc aligns with migration failure handling guidance.","已完成","已完成","已完成","已提交","wuan","docs/review/action-backlog.md:14;basebackend-database/docs/MIGRATION_FAILURE_HANDLING.md:1;basebackend-database/docs/SCHEMA_GOVERNANCE.md:1","picked_reason:document schema ownership and migration governance;done_at:2026-01-18T15:01:54+08:00;validation_limited:doc-only change, no automated tests run;manual_test:review SCHEMA_GOVERNANCE.md for ownership and migration workflow;evidence:schema governance doc added;risk:low"
"ACT-007","P2","9.7","backend","Document file-service timeouts and error contract","Document storage adapter timeout/retry defaults and API error contract for file-service.","File-service doc lists timeout/retry defaults and error codes aligned with implementation/configs.","AUTOSERVER","Cross-check doc against storage adapter config and error handling paths.","Validate doc matches current defaults in code/config.","已完成","已完成","已完成","已提交","wuan","docs/review/action-backlog.md:15;basebackend-file-service/docs/CODE_REVIEW_REPORT.md:49;basebackend-file-service/docs/ERROR_CONTRACT_AND_TIMEOUTS.md:1","picked_reason:document file-service timeouts and error contract;done_at:2026-01-18T15:03:51+08:00;validation_limited:doc-only change, no automated tests run;manual_test:review ERROR_CONTRACT_AND_TIMEOUTS.md against property defaults;evidence:timeouts/error contract doc added;risk:low"
"ACT-008","P2","9.8","backend","Standardize Nacos config directory usage","Document the authoritative Nacos config directory and upload flow, deprecating the non-authoritative path.","Docs identify a single authoritative Nacos config directory and upload script; references are consistent.","AUTOSERVER","Check config README files and upload script references for consistency.","Confirm docs point to the same source directory and flow.","已完成","已完成","已完成","已提交","wuan","docs/review/action-backlog.md:16;config/nacos-configs/README.md:1;config/nacos/README.md:1;bin/maintenance/upload-nacos-configs.sh:1","picked_reason:standardize Nacos config docs;done_at:2026-01-18T15:05:38+08:00;validation_limited:doc-only change, no automated tests run;manual_test:review nacos README files for authoritative directory;evidence:docs updated to point to config/nacos-configs;risk:low"
"ACT-009","P2","9.9","backend","Raise Sonar coverage threshold","Increase Sonar coverage threshold and document CI tracking expectations.","`sonar.coverageThreshold` is raised and documentation notes CI should enforce coverage deltas.","AUTOSERVER","Verify sonar-project.properties reflects new threshold and documentation mentions enforcement.","Confirm coverage threshold aligns with quality gate expectations.","已完成","已完成","已完成","已提交","wuan","docs/review/action-backlog.md:17;sonar-project.properties:1;docs/CODE_QUALITY_TOOLS.md:1","picked_reason:raise sonar coverage threshold;done_at:2026-01-18T15:06:43+08:00;validation_limited:config/doc change, no automated tests run;manual_test:mvn sonar:sonar and verify quality gate;evidence:sonar coverage threshold raised to 50;risk:medium pipeline may fail if coverage below threshold"
